chr1A	2180000	2450000	306	232011	270000	0.8593000
chr1B	2440000	2720000	284	247212	280000	0.8829000
chr2A	1660000	1930000	258	243130	270000	0.9004815
chr2B	1560000	1830000	270	241005	270000	0.8926111
chr3A	1870000	2089999	265	185721	219999	0.8441902
chr3B	1920000	2260000	305	303451	340000	0.8925030
chr4A	3060000	3340000	228	247940	280000	0.8855000
chr4B	3330000	3640000	352	257904	310000	0.8319484
chr5A	4380000	4650000	333	245579	270000	0.9095519
chr5B	6010000	6230000	270	196486	220000	0.8931182
chr6A	1300000	1620000	284	295295	320000	0.9227968
chr6B	1150000	1490000	311	321169	340000	0.9446147
chr7A	1740000	2040000	329	268493	300000	0.8949767
chr7B	1940000	2180000	359	211181	240000	0.8799208
chr8A	1240000	1520000	343	223496	280000	0.7982000
chr8B	1280000	1550000	283	246520	270000	0.9130371
chr9A	1930000	2160000	258	214772	230000	0.9337913
chr9B	2120000	2360000	251	226324	240000	0.9430166
chr10A	1370000	1660000	220	274062	290000	0.9450414
chr10B	1980000	2250000	249	241109	270000	0.8929963
chr11A	3500000	3600000	68	97497	100000	0.9749700
chr11B	3820000	3930000	50	106125	110000	0.9647727
chr12A	2850000	3130000	381	237079	280000	0.8467107
chr12B	2820000	3080000	281	214962	260000	0.8267769
chr13A	1900000	2140000	290	204889	240000	0.8537042
chr13B	2060000	2280000	283	174352	220000	0.7925091
chr14A	2130000	2440000	388	282520	310000	0.9113548
chr14B	2250000	2480000	353	213802	230000	0.9295739
chr15A	2620000	2780000	172	143080	160000	0.8942500
chr15B	2520000	2810000	329	252177	290000	0.8695759
chr16A	2300000	2540000	244	217228	240000	0.9051167
chr16B	2260000	2550000	244	232497	290000	0.8017138
chr17A	2350000	2520000	164	153488	170000	0.9028706
chr17B	2180000	2450000	274	251203	270000	0.9303815
chr18A	1790000	2020000	264	206310	230000	0.8970000
chr18B	2020000	2220000	145	186186	200000	0.9309300
