chr1A	0	2180000	2598	1304744	2180000	0.5985065
chr1A	2450000	6156719	4613	2095800	3706719	0.5654057
chr1B	0	2440000	3017	1551975	2440000	0.6360554
chr1B	2720000	6527790	4739	2199100	3807790	0.5775266
chr2A	0	1660000	1997	922332	1660000	0.5556217
chr2A	1930000	6062785	5279	2427688	4132785	0.5874218
chr2B	0	1560000	1819	859760	1560000	0.5511282
chr2B	1830000	6111596	5140	2575668	4281596	0.6015673
chr3A	0	1870000	2082	1148841	1870000	0.6143535
chr3A	2089999	6034716	4809	2279505	3944717	0.5778627
chr3B	0	1920000	2289	1211999	1920000	0.6312495
chr3B	2260000	4933499	3205	1632781	2673499	0.6107281
chr4A	0	3060000	3799	1701762	3060000	0.5561314
chr4A	3340000	5967513	3327	1601781	2627513	0.6096187
chr4B	0	3330000	3828	1913224	3330000	0.5745417
chr4B	3640000	6361177	3482	1631072	2721177	0.5993994
chr5A	0	4380000	5184	2650745	4380000	0.6051929
chr5A	4650000	5558200	1071	462719	908200	0.5094902
chr5B	0	6010000	7163	3614569	6010000	0.6014258
chr5B	6230000	7278493	1210	581110	1048493	0.5542336
chr6A	0	1300000	1592	815503	1300000	0.6273100
chr6A	1620000	5554679	4678	2326060	3934679	0.5911689
chr6B	0	1150000	1469	702931	1150000	0.6112443
chr6B	1490000	5249173	4293	2268453	3759173	0.6034447
chr7A	0	1740000	2116	959793	1740000	0.5516052
chr7A	2040000	5184328	3955	1871353	3144328	0.5951520
chr7B	0	1940000	2402	1158697	1940000	0.5972665
chr7B	2180000	5504590	4025	1960686	3324590	0.5897527
chr8A	0	1240000	1451	693099	1240000	0.5589508
chr8A	1520000	5113503	4327	2152610	3593503	0.5990283
chr8B	0	1280000	1621	734702	1280000	0.5739859
chr8B	1550000	2822573	1668	797077	1272573	0.6263507
chr9A	0	1930000	2081	1059320	1930000	0.5488704
chr9A	2160000	4787822	3226	1504367	2627822	0.5724767
chr9B	0	2120000	2237	1254460	2120000	0.5917264
chr9B	2360000	5144719	3248	1611275	2784719	0.5786132
chr10A	0	1370000	1683	790741	1370000	0.5771832
chr10A	1660000	4648557	3826	1750548	2988557	0.5857502
chr10B	0	1980000	2231	1417183	1980000	0.7157490
chr10B	2250000	4975925	3488	1530631	2725925	0.5615088
chr11A	0	3500000	4278	2208692	3500000	0.6310549
chr11A	3600000	4640345	1206	546320	1040345	0.5251335
chr11B	0	3820000	4236	2462666	3820000	0.6446770
chr11B	3930000	4948285	1147	515876	1018285	0.5066126
chr12A	0	2850000	3348	1602275	2850000	0.5622017
chr12A	3130000	3976801	1116	489667	846801	0.5782551
chr12B	0	2820000	3571	1605928	2820000	0.5694780
chr12B	3080000	3939593	1180	500012	859593	0.5816846
chr13A	0	1900000	2308	1067483	1900000	0.5618331
chr13A	2140000	3570070	1714	922864	1430070	0.6453279
chr13B	0	2060000	2697	1220804	2060000	0.5926233
chr13B	2280000	3305433	973	519203	1025433	0.5063256
chr14A	0	2130000	2490	1276979	2130000	0.5995207
chr14A	2440000	3568213	1250	649926	1128213	0.5760667
chr14B	0	2250000	2602	1381467	2250000	0.6139854
chr14B	2480000	3562274	1087	665188	1082274	0.6146207
chr15A	0	2620000	3188	1743158	2620000	0.6653275
chr15A	2780000	3494038	742	374714	714038	0.5247816
chr15B	0	2520000	3080	1649015	2520000	0.6543710
chr15B	2810000	3444477	817	343942	634477	0.5420874
chr16A	0	2300000	2679	1344584	2300000	0.5846018
chr16A	2540000	3430719	1114	507370	890719	0.5696185
chr16B	0	2260000	2673	1301204	2260000	0.5757540
chr16B	2550000	5892386	4203	1990163	3342386	0.5954318
chr17A	0	2350000	2753	1289884	2350000	0.5488868
chr17A	2520000	3318234	1006	517699	798234	0.6485555
chr17B	0	2180000	2496	1093935	2180000	0.5018051
chr17B	2450000	2935969	589	299005	485969	0.6152759
chr18A	0	1790000	2423	1000267	1790000	0.5588084
chr18A	2020000	2873395	1000	543513	853395	0.6368833
chr18B	0	2020000	2422	1226007	2020000	0.6069341
chr18B	2220000	3060192	1048	535130	840192	0.6369140
