chr14A	2217425	2223913	chr14B	2333414	2337342
chr16B	4669456	4670484	chr18B	2093542	2095190
chr7A	25483	27361	chr13A	14867	15525
chr13A	1956608	1959738	chr13B	2130072	2137429
chr14B	2374178	2374707	chr14A	2261976	2262505
chr10B	2115754	2140521	chr10A	1547696	1548317
chr10B	2154652	2159851	chr10A	1562294	1565531
chr9B	571491	572798	chr9A	560336	562314
chr16B	2443627	2443838	chr13A	2065931	2065964
chr2A	5475863	5476390	chr3B	2144950	2145720
chr4A	5482477	5484154	chr15A	1031368	1031620
chr3B	3934209	3935654	chr6A	1408844	1409706
chr10B	4012719	4013069	chr6A	4105900	4106312
chr10B	356183	357270	chr9A	2992650	2993370
chr7B	1551607	1552848	chr3B	1924000	1924518
chr11A	3477152	3477868	chr17A	2518550	2519005
chr3B	1962006	1963075	chr7A	1889953	1890367
chr2B	4759978	4760985	chr15A	3397942	3399426
chr15A	1877252	1877602	chr9B	1547651	1548214
chr11B	3011469	3013668	chr11A	2903389	2905081
chr2A	4259754	4261065	chr9A	2992650	2993370
chr7A	1858804	1869837	chr8B	1425292	1439229
chr9B	2138350	2140484	chr2B	3876212	3877111
chr4B	3468015	3470405	chr4B	3472227	3473410
chr13B	1907766	1909517	chr5A	1965100	1965568
chr12B	1451753	1453142	chr13A	850150	851721
chr6B	3762210	3763569	chr8B	1403354	1403866
chr3A	4632301	4632571	chr13A	2298807	2299117
chr16B	43392	50944	chr16A	101471	105837
chr9A	2021638	2026699	chr9B	2262067	2267980
chr5B	5744550	5744818	chr11B	3094050	3094319
chr9A	4699664	4700490	chr13A	2658048	2659311
chr1A	1298219	1299132	chr4A	3571165	3571417
chr4A	2195558	2198652	chr5B	4271322	4271954
chr18A	2843502	2844170	chr16A	1554151	1554418
chr11A	3478507	3479119	chr1A	2818601	2819037
chr1A	2376419	2388167	chr15A	2616498	2617705
chr12B	1223412	1223724	chr1A	4051535	4051871
chr6A	1455660	1457089	chr18A	1934451	1934867
chr9B	4633630	4636363	chr9A	4282716	4283904
chr12B	1484454	1484818	chr16B	32300	32569
chr11B	4924155	4926061	chr11A	122588	123696
chr1A	2818601	2819037	chr3B	22400	22670
chr10A	807690	813332	chr12B	2214373	2216607
chr3B	2144950	2145720	chr2A	5475863	5476390
chr17B	1327478	1332986	chr17A	1617489	1624738
chr10B	2251150	2251714	chr12B	1485601	1485916
chr12A	983712	984070	chr2B	4686950	4687212
chr3A	1462343	1464491	chr16B	4669456	4670484
chr9A	560336	562314	chr9B	571491	572798
chr2A	1768700	1774610	chr2B	1687141	1691484
chr5B	4271322	4271954	chr8B	1738302	1738953
chr1A	5860351	5860866	chr9B	3358778	3360191
chr9A	2904657	2906318	chr1A	3489382	3491468
