chr3A	392639	394163	chr3B	562889	564180
chr4B	5381619	5382686	chr4A	5126787	5127350
chr17B	1807211	1810151	chr17A	2166154	2168126
chr9B	1141577	1147017	chr9A	1057428	1059103
chr17B	1902543	1905949	chr17A	2207402	2210156
chr3A	5218698	5223138	chr5B	1256441	1261850
chr5A	2311530	2314399	chr5B	3883525	3887208
chr5B	2243608	2247201	chr5A	757301	759581
chr4B	4842612	4843330	chr16B	1746235	1746877
chr3B	4670894	4672350	chr5A	192924	194004
chr3A	80877	82266	chr3B	130217	131229
chr5B	5889264	5891411	chr5A	4175231	4178406
chr3A	1857987	1859145	chr3B	1895881	1897540
chr15A	1075571	1075763	chr2B	2728061	2728168
chr10A	865948	867571	chr5A	5295008	5296884
chr5A	3741104	3741505	chr15B	2129950	2130208
chr2A	2649563	2650084	chr16A	1880651	1881064
chr9B	789709	791602	chr9A	737653	740817
chr15B	272952	273081	chr15A	240516	240717
chr18A	160245	163219	chr18B	203562	206000
chr4B	2332721	2334564	chr4A	2117612	2119941
chr5B	435613	436660	chr3A	4314162	4315675
chr2A	5545255	5546059	chr2B	5529358	5530319
chr6A	2957556	2960451	chr6B	2795118	2800630
chr13B	2518215	2519962	chr13A	2557052	2558674
chr1B	1341730	1342693	chr1A	1386924	1387909
chr13A	112084	113561	chr13B	129541	130511
chr6A	2268800	2269220	chr9A	389952	390220
chr12B	2413757	2414223	chr12A	2390577	2391043
chr15B	619124	621672	chr15A	516716	518702
chr14A	279102	279354	chr14A	269001	269228
chr13B	2449483	2452187	chr13A	2374478	2378026
chr6B	2628123	2629664	chr6A	2820623	2820809
chr11B	1593012	1594526	chr11B	1648654	1650086
chr11B	1541367	1543670	chr11A	1573726	1575200
chr5B	1869237	1872747	chr5A	423496	425836
chr2A	370603	370832	chr13A	2065931	2065964
chr12A	222840	224967	chr12B	238206	239974
chr17A	2564841	2565524	chr17B	2097962	2098632
chr7A	3391268	3392627	chr7B	3673086	3674754
chr9B	3903903	3905669	chr9A	3686332	3688719
chr9B	3008365	3010207	chr9A	2674037	2676811
chr10A	2807646	2809418	chr10B	3244422	3246879
chr10B	4185718	4187395	chr10A	3779401	3780547
chr6A	1915898	1919770	chr6B	1793161	1797439
chr16B	2638653	2641574	chr16A	2652756	2655627
chr3B	1519838	1521674	chr3A	1345089	1346949
chr16B	4157750	4158013	chr7A	4546119	4546420
chr6A	4870999	4872435	chr9A	393037	395248
chr13A	1966109	1969521	chr13B	2155976	2159790
chr4A	5127449	5127887	chr4B	5382769	5383261
chr14B	585729	586263	chr14A	525406	526639
chr5A	5493122	5494019	chr5B	7214832	7215472
chr4A	2745100	2747294	chr4B	3015926	3016925
chr13A	2764085	2765667	chr13B	2669548	2671520
chr10A	1261474	1262170	chr10B	1819410	1820957
chr15B	964143	969724	chr15A	1004560	1010135
chr7A	985672	987777	chr7B	1013048	1015137
chr3A	2758962	2760264	chr8A	521722	522123
chr10B	1818040	1818479	chr10A	1259788	1260240
chr12B	761838	763348	chr12A	733680	735463
chr3B	4348892	4349168	chr6A	390650	391002
chr12A	1532098	1534498	chr12B	1489250	1490076
chr6B	3313967	3314508	chr6A	3545529	3546068
chr5B	1757965	1759665	chr3A	5849814	5851504
chr1A	3042769	3043848	chr1B	3330971	3331984
chr16B	4270083	4274384	chr8A	3595963	3597450
chr6B	2627583	2628040	chr6A	2819337	2820540
chr6A	5117410	5118163	chr6B	4819704	4820935
chr8B	110382	110964	chr8A	106988	108027
chr12A	2393014	2393426	chr12B	2416186	2417154
chr5A	2531618	2533093	chr5B	4050729	4053097
chr7A	3747847	3750095	chr13A	2065931	2065964
chr4B	982220	984645	chr4A	720222	721114
chr13A	249896	252612	chr13B	304569	308335
chr5B	1256441	1261850	chr3A	5218698	5223138
chr12A	2390066	2390482	chr12B	2413330	2413662
chr15B	3227285	3230283	chr15A	3225187	3227522
chr13A	3020158	3022121	chr10A	849793	851560
chr18B	1904971	1906131	chr18A	1707182	1708361
chr7B	554574	556362	chr7A	617553	618997
chr9B	175610	177519	chr9A	153583	156041
chr17A	844866	847164	chr17B	711925	714367
chr16A	2407480	2410738	chr16B	2358458	2362225
chr5B	1539705	1543114	chr3A	5589130	5592052
chr8B	1129978	1132229	chr8A	1110784	1113208
chr10B	4938530	4940612	chr10A	4530571	4531498
chr11A	2566776	2567710	chr11B	2607549	2608515
chr1B	3330971	3331984	chr1A	3042769	3043848
chr1B	4278057	4279017	chr1A	3963600	3964847
chr4B	2667065	2668976	chr4A	2457469	2460137
chr16B	1449142	1450319	chr16A	1441566	1443207
chr16A	216108	218288	chr16B	137354	139357
chr10A	2592475	2594561	chr10B	3028216	3029365
chr14B	1510133	1513921	chr14A	1271746	1275026
chr5B	3900396	3903114	chr5A	2328546	2330848
chr8A	522238	522863	chr9A	511240	511591
chr16A	815039	817899	chr16B	786802	789592
chr2A	1774889	1782546	chr2B	1703360	1705314
chr16A	981319	983405	chr16B	1010279	1014632
chr10A	1562294	1565531	chr10B	2154652	2159851
chr4A	720222	721114	chr4B	982220	984645
chr15A	1004560	1010135	chr15B	964143	969724
chr4A	1085666	1089110	chr2A	6053419	6056111
chr16B	4514666	4516377	chr8A	3836047	3836992
chr11B	1776510	1778156	chr11A	1714124	1715791
